row_index,run_id,graph_type,n,edge_u,edge_v,delta_obs,baseline_Kc_csv,new_Kc_csv,dK_da_pred,sign_match,Kc_from_continuation,Kc_refined,augment_res_norm,Hx_condition_number,linear_system_residual
0,1759450256_0,rgn,14,2,3,0.01,1.7100000000000637,1.7200000000000637,0.06646608833756087,True,1.7100000000000637,1.7099999931718122,2.1280632619749203e-15,139269525942.27722,1.585487665078471e-15
1,1759450256_0,rgn,14,2,6,0.01,1.7100000000000637,1.7200000000000637,0.05274392946876546,True,1.7100000000000637,1.7099999931718122,2.1280632619749203e-15,139269525942.27722,1.3896336385076032e-15
2,1759450256_0,rgn,14,2,8,0.03,1.7100000000000637,1.7400000000000635,0.19770966467548573,True,1.7100000000000637,1.7099999931718122,2.1280632619749203e-15,139269525942.27722,4.8811489534826815e-15
3,1759450256_0,rgn,14,3,7,0.02,1.7100000000000637,1.7300000000000637,0.05660747541471562,True,1.7100000000000637,1.7099999931718122,2.1280632619749203e-15,139269525942.27722,8.221199764254714e-15
4,1759450256_0,rgn,14,3,9,0.01,1.7100000000000637,1.7200000000000637,0.07012639887054842,True,1.7100000000000637,1.7099999931718122,2.1280632619749203e-15,139269525942.27722,2.0239920597521825e-15
5,1759450256_0,rgn,14,3,11,0.02,1.7100000000000637,1.7300000000000637,0.10077241691831632,True,1.7100000000000637,1.7099999931718122,2.1280632619749203e-15,139269525942.27722,3.3842382474264567e-15
6,1759450256_0,rgn,14,3,12,0.02,1.7100000000000637,1.7300000000000637,0.028327230564172426,True,1.7100000000000637,1.7099999931718122,2.1280632619749203e-15,139269525942.27722,1.126108509966179e-14
7,1759450256_0,rgn,14,3,13,0.02,1.7100000000000637,1.7300000000000637,0.12103006225779851,True,1.7100000000000637,1.7099999931718122,2.1280632619749203e-15,139269525942.27722,3.777138580300889e-15
8,1759450256_0,rgn,14,5,6,0.01,1.7100000000000637,1.7200000000000637,0.05478208031388347,True,1.7100000000000637,1.7099999931718122,2.1280632619749203e-15,139269525942.27722,1.825787728534361e-15
9,1759450256_0,rgn,14,5,7,0.01,1.7100000000000637,1.7200000000000637,-0.020323865889794367,False,1.7100000000000637,1.7099999931718122,2.1280632619749203e-15,139269525942.27722,4.638336049617096e-15
10,1759450256_0,rgn,14,5,8,0.02,1.7100000000000637,1.7300000000000637,0.11455755457936567,True,1.7100000000000637,1.7099999931718122,2.1280632619749203e-15,139269525942.27722,2.613008381904541e-15
11,1759450256_0,rgn,14,6,7,0.02,1.7100000000000637,1.7300000000000637,0.10257227129580684,True,1.7100000000000637,1.7099999931718122,2.1280632619749203e-15,139269525942.27722,1.031718329039363e-14
12,1759450256_0,rgn,14,6,11,0.01,1.7100000000000637,1.7200000000000637,0.1077077382345071,True,1.7100000000000637,1.7099999931718122,2.1280632619749203e-15,139269525942.27722,3.068349892261922e-15
13,1759450256_0,rgn,14,6,12,0.02,1.7100000000000637,1.7300000000000637,0.09670231937956597,True,1.7100000000000637,1.7099999931718122,2.1280632619749203e-15,139269525942.27722,1.2633489479971518e-14
14,1759450256_0,rgn,14,6,13,0.01,1.7100000000000637,1.7200000000000637,0.1299728859468617,True,1.7100000000000637,1.7099999931718122,2.1280632619749203e-15,139269525942.27722,5.129179035294412e-15
15,1759450256_0,rgn,14,7,8,0.05,1.7100000000000637,1.7600000000000635,0.12781800180368316,True,1.7100000000000637,1.7099999931718122,2.1280632619749203e-15,139269525942.27722,1.1060094636489811e-14
16,1759450256_0,rgn,14,8,9,0.02,1.7100000000000637,1.7300000000000637,0.18917018254355378,True,1.7100000000000637,1.7099999931718122,2.1280632619749203e-15,139269525942.27722,4.9615136905673824e-15
17,1759450256_0,rgn,14,8,11,0.04,1.7100000000000637,1.7500000000000635,0.21329212541811102,True,1.7100000000000637,1.7099999931718122,2.1280632619749203e-15,139269525942.27722,7.178821654660502e-15
18,1759450256_0,rgn,14,8,12,0.04,1.7100000000000637,1.7500000000000635,0.09598891818412118,True,1.7100000000000637,1.7099999931718122,2.1280632619749203e-15,139269525942.27722,1.615501418355268e-14
19,1759450256_0,rgn,14,8,13,0.04,1.7100000000000637,1.7500000000000635,0.2406874164031291,True,1.7100000000000637,1.7099999931718122,2.1280632619749203e-15,139269525942.27722,6.7233370271105735e-15
20,1759450320_3,rgn,15,2,7,0.0699999999999985,4.7400000000000055,4.810000000000004,0.22990298534692633,True,4.7400000000000055,4.740000037404666,2.7365382639768052e-15,138747722824.8225,3.3166972050058586e-15
21,1759450320_3,rgn,15,7,9,0.0199999999999995,4.7400000000000055,4.760000000000005,0.08402191493409181,True,4.7400000000000055,4.740000037404666,2.7365382639768052e-15,138747722824.8225,6.408069189244279e-16
22,1759450320_3,rgn,15,7,10,0.1199999999999974,4.7400000000000055,4.860000000000003,0.22787392000224754,True,4.7400000000000055,4.740000037404666,2.7365382639768052e-15,138747722824.8225,2.5405973233705897e-15
23,1759450374_4,rgn,19,1,14,0.0199999999999995,3.2900000000000365,3.310000000000036,0.12795133846143414,True,3.2900000000000365,3.290000006471771,6.308736778997903e-15,50219255945.742805,1.0034124889971462e-14
24,1759450374_4,rgn,19,1,17,0.0099999999999997,3.2900000000000365,3.300000000000036,0.006528569377920075,True,3.2900000000000365,3.290000006471771,6.308736778997903e-15,50219255945.742805,7.825693856004769e-16
25,1759450374_4,rgn,19,2,8,0.0399999999999991,3.2900000000000365,3.3300000000000356,0.11527407880318605,True,3.2900000000000365,3.290000006471771,6.308736778997903e-15,50219255945.742805,9.550028502097866e-15
26,1759450374_4,rgn,19,2,14,0.0699999999999985,3.2900000000000365,3.360000000000035,0.21325520560619685,True,3.2900000000000365,3.290000006471771,6.308736778997903e-15,50219255945.742805,2.272342497765569e-14
27,1759450374_4,rgn,19,3,8,0.0399999999999991,3.2900000000000365,3.3300000000000356,0.13179848618655102,True,3.2900000000000365,3.290000006471771,6.308736778997903e-15,50219255945.742805,6.503344906745835e-15
28,1759450374_4,rgn,19,3,14,0.0599999999999987,3.2900000000000365,3.350000000000035,0.21906447020743927,True,3.2900000000000365,3.290000006471771,6.308736778997903e-15,50219255945.742805,1.663445610368391e-14
29,1759450374_4,rgn,19,3,17,0.0099999999999997,3.2900000000000365,3.300000000000036,0.0109308700788791,True,3.2900000000000365,3.290000006471771,6.308736778997903e-15,50219255945.742805,3.0652516403404195e-15
